,0,1,2,3,4,5,6,7,8
267,DYNLT3,SMIM27,TOMM6,NA,TFB1M,NA,CYSRT1,KIF2C,NA
268,SLC25A24,COX10,ZNF222,NA,BRI3BP,NA,PVT1,RNASEH2A,NA
269,HLA-A,NDUFA3,RFESD,NA,HAUS6,POLB,PUS7,AC010642.2,TXN2
270,MSN,HLA-DRB5,GALNT7,DPYD,COLGALT1,RNF5,FAM216A,CDHR2,FIBP
271,DUSP1,LEMD2,EPOP,NA,NDUFV3,NA,PPIA,AKIP1,NA
272,RASAL3,BCL11B,SLC25A6,NA,UBAC2-AS1,NA,RAMAC,PPP1R35,NKG7
273,CTSW,SNAPC5,NSMCE1,NA,ZFP62,NA,JAK2,NUP210,NA
274,FLNA,CYB561D2.1,VPS37A,NA,ATN1,NA,EXOC6,CMTM1,NA
275,TAGLN2,NDUFAF1,SRP68,NA,LINC01480,PPA1,CRKL,RDX,SENP3
276,SEC61B,TRMT12,RBM8A,NA,PRDX1,NA,NA,RFXANK,NA
277,THEMIS,SFT2D2,DDX18,NA,SNHG5,NA,PSMA7,MSANTD3,NA
278,STX3,EEA1,C1orf194,NA,FKBP5,NA,NA,BARD1,NA
279,ISG15,GPRIN3,EIF3G,NA,TMEM97,NA,NA,ANXA5,NA
280,SLC4A10,ZSCAN16-AS1,LYAR,NA,TMTC4,NA,EXOSC10,PSMB9,NA
281,OAS3,ASCC3,SSRP1,NA,UBTF,NA,BUD23,TRAPPC2B,ARHGAP26
282,GNB2,RNF6,TRA2B,NA,TP53RK,SEPHS2,KMT2B,NECTIN3,ZNF623
283,KLF2,RPS6KA1,COX20,NA,ATF1,G6PC3,CHERP,FANCB,FANCA
284,DDX58,HMGN4,AC136475.3,NA,DTYMK,NA,COX5A,PDCL,NA
285,PTPN13,C1orf112,COG2,NA,APTX,NA,AL391839.3,ECPAS,NA
286,ANXA6,DNAJB12,KPNA4,NA,FSTL3,NA,NRARP,PARD6A,NA
287,XBP1,BFAR,PTGES3,NA,IL24,NA,COPRS,AUNIP,TUBB
288,EMB,ATP1B1,RABEP1,NA,OXCT2,NA,GATA3,D2HGDH,RPAP2
